instance,solve_time(s)
x_34_1,197.088
x_34_0,320.148
x_34_3,0.00451994
x_34_4,301.707
x_28_8,234.776
x_20_1,0.00242186
x_28_6,23.8593
x_28_7,202.355
x_28_4,233.591
x_28_5,196.224
x_28_2,0.00301003
x_28_3,179.792
x_28_0,79.3488
x_28_1,0.00363493
x_33_2,0.00477004
x_25_3,0.00394487
x_33_0,0.00455999
x_33_1,248.913
x_33_6,0.00457788
x_33_7,52.2459
x_25_2,0.0024488
x_33_8,82.7903
x_25_1,0.00335717
x_31_4,0.00360394
x_31_5,209.679
x_31_6,0.00435209
x_25_0,0.00291705
x_31_0,259.5
x_31_1,200.021
x_31_2,191.756
x_31_3,285.394
x_25_7,91.3419
x_31_8,232.928
x_25_6,0.00321507
x_25_5,93.4568
x_30_0,0.00360799
x_25_4,0.003196
x_10_7,0.00560403
x_10_6,0.00118804
x_10_5,0.00123692
x_10_4,0.00088501
x_10_3,0.00483108
x_10_2,0.00106096
x_10_1,0.00184202
x_10_0,0.00703406
x_10_8,0.00145006
x_22_8,0.00258303
x_25_8,0.00310683
x_26_4,0.00320697
x_22_0,0.00277209
x_22_1,0.00287008
x_22_2,202.593
x_22_3,0.00274181
x_22_4,0.00276899
x_22_5,0.00282717
x_22_6,0.00331783
x_22_7,208.949
x_12_8,0.00222397
x_27_8,0.00276184
x_33_3,77.5175
x_12_1,0.00134611
x_12_0,0.00538492
x_12_3,120.883
x_12_2,0.001966
x_12_5,0.00344419
x_12_4,0.00171399
x_12_7,0.002285
x_12_6,0.002074
x_27_5,181.158
x_26_5,0.00315404
x_21_8,0.00274611
x_21_7,0.00265694
x_21_6,174.143
x_21_5,0.00474811
x_21_4,188.327
x_21_3,150.173
x_21_2,161.225
x_21_1,0.00310588
x_21_0,177.142
x_27_6,132.471
x_27_1,179.701
x_33_5,244.0
x_27_0,184.363
x_26_6,0.00313306
x_23_2,0.0030129
x_27_3,178.61
x_23_8,0.00241804
x_27_2,0.00408006
x_26_7,139.947
x_17_4,0.00247693
x_17_5,22.6712
x_17_6,146.961
x_23_1,0.00238204
x_23_0,0.00264096
x_23_3,164.033
x_17_7,0.00246882
x_23_5,0.00264192
x_23_4,0.00261021
x_23_7,0.00342607
x_23_6,0.00257611
x_18_3,0.00248718
x_26_0,178.148
x_17_1,0.00233102
x_31_7,0.00556087
x_18_1,144.625
x_27_4,0.00437188
x_18_0,0.00289392
x_14_2,0.00151086
x_26_1,0.00363612
x_29_7,279.298
x_29_6,0.00451303
x_29_5,191.231
x_29_4,0.00350213
x_29_3,54.7343
x_27_7,0.00389791
x_29_1,0.00332999
x_29_0,0.00286412
x_29_8,234.699
x_29_2,226.792
x_24_4,0.00280023
x_26_2,158.986
x_24_8,0.00279403
x_26_3,228.277
x_19_6,0.00235701
x_14_3,0.00370789
x_19_4,0.00282884
x_19_5,148.862
x_19_2,139.026
x_19_3,0.00232601
x_19_0,187.788
x_19_1,127.515
x_13_2,0.00202513
x_19_8,0.00267315
x_13_3,0.0014801
x_13_4,0.00273204
x_13_5,0.00333118
x_14_5,0.00133586
x_13_7,0.00159001
x_15_8,0.0022831
x_15_2,0.0018959
x_15_3,0.00187898
x_15_0,135.712
x_15_1,0.00220704
x_15_6,0.0014801
x_15_7,162.329
x_15_4,0.00144506
x_15_5,0.00161386
x_19_7,0.00299001
x_32_8,0.00436401
x_32_3,0.00435185
x_32_2,221.384
x_32_1,0.00433993
x_32_0,0.00524116
x_32_7,294.01
x_32_6,0.00410604
x_32_5,273.806
x_32_4,294.85
x_20_6,0.00246811
x_30_8,246.234
x_20_7,0.00340295
x_30_5,0.00402093
x_30_4,275.082
x_30_7,0.00396609
x_30_6,0.00406909
x_30_1,0.00417709
x_20_4,0.00227904
x_30_3,132.287
x_20_5,0.00245714
x_20_2,0.00238395
x_20_3,0.0027802
x_17_8,0.00251794
x_20_0,168.976
x_18_8,0.00326395
x_18_7,0.00340104
x_18_6,0.00234699
x_18_5,0.00240302
x_18_4,0.00220108
x_17_0,172.897
x_18_2,0.00309896
x_17_2,0.00360203
x_17_3,123.493
x_24_2,0.00244403
x_24_3,0.00244188
x_24_0,0.00281215
x_24_1,0.00297904
x_24_6,208.834
x_24_7,0.00293088
x_11_8,0.00273395
x_24_5,160.365
x_11_6,0.004673
x_11_7,0.00379395
x_11_4,0.00145483
x_11_5,0.00110698
x_11_2,0.00293207
x_11_3,0.00110602
x_11_0,0.00113893
x_11_1,0.00146198
x_13_0,0.00133681
x_13_1,0.00152302
x_14_1,0.00158191
x_14_0,0.00136709
x_14_7,0.00119519
x_14_6,0.001472
x_13_6,0.00158
x_14_4,0.00144506
x_13_8,0.00163293
x_14_8,0.00172186
x_26_8,0.00261784
x_16_5,137.142
x_16_4,0.00255299
x_16_7,0.00762701
x_16_6,119.769
x_16_1,0.00240517
x_16_0,0.00206399
x_16_3,0.00293803
x_16_2,0.001858
x_16_8,138.464
x_20_8,0.00235891
